연번 ,업소명(상호),영업장소재지,경도,위도,위생등급,지정번호,관할기관,지정일자
529,엑스더스카이_ 스카이99,"부산광역시 해운대구 달맞이길 30(지상99층 중동, 엘시티)",129.1680126,35.16132822,매우우수,HG220003063,부산광역시 해운대구,2022-05-02
530,호식이 두마리치킨,"부산광역시 해운대구 양운로 182(좌동, 두산동국@분산상가102호)",129.1699412,35.17870621,매우우수,HG230001182,부산광역시 해운대구,2023-03-17
532,양산도 해운대장산점,부산광역시 해운대구 좌동로10번길 61(1층 중동),129.1721094,35.1676253,매우우수,HG230007924,부산광역시 해운대구,2023-10-23
533,호미스피자 해운대점,부산광역시 해운대구 좌동순환로433번길 20(1층 일부101호호 중동),129.1756704,35.16108279,우수,HG220010191,부산광역시 해운대구,2022-11-17
535,인생아구찜 장산점,"부산광역시 해운대구 좌동순환로 411(지하2층 1호중 일부호 중동, 삼성타워)",129.1756813,35.16183984,매우우수,HG230008456,부산광역시 해운대구,2023-11-09
539,소막집 본점,"부산광역시 해운대구 세실로 75(1층 108호,109호 좌동, 일진빌딩)",129.1767726,35.17129372,매우우수,HG220009157,부산광역시 해운대구,2022-10-25
541,디에이블 달맞이점,"부산광역시 해운대구 달맞이길 129(중동, 2층)",129.1767564,35.15723235,매우우수,HG220008713,부산광역시 해운대구,2022-10-12
543,스텔라떡볶이 부산해운대장산점,"부산광역시 해운대구 양운로 45(좌동, 베르나움A동상가 102-2)",129.1767819,35.16737263,매우우수,HG230007312,부산광역시 해운대구,2023-09-27
544,애슐리퀸즈 NC 해운대점,"부산광역시 해운대구 해운대로 813(좌동, 장산NC백화점 7층)",129.177069,35.17053368,매우우수,HG230004619,부산광역시 해운대구,2023-07-10
548,제이 사워도우,"부산광역시 해운대구 좌동로 166(상가A동 1층 102호 좌동, 부산좌동 창업지원주택)",129.1824531,35.17542974,매우우수,HG220009358,부산광역시 해운대구,2022-11-01
551,고동운식당,부산광역시 해운대구 달맞이길117번나길 151(중동),129.1845699,35.16320437,매우우수,HG230006686,부산광역시 해운대구,2023-09-07
553,테이블 4,"부산광역시 해운대구 송정광어골로 66(송정동, 1층)",129.1959139,35.1755498,매우우수,HG220010711,부산광역시 해운대구,2022-12-06
554,정직유부 마린시티점,"부산광역시 해운대구 마린시티3로 46(112 일부호 우동, 우신골든메르시아)",129.1454012,35.15503639,우수,HG210000919,부산광역시 해운대구,2023-02-24
556,기온,부산광역시 해운대구 우동1로38번가길 25-8(2층 우동),129.1586272,35.16514116,매우우수,HG230008082,부산광역시 해운대구,2023-10-30
557,거대곰탕,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 지하1층 우동),129.1290849,35.16881869,매우우수,HG220006454,부산광역시 해운대구,2022-08-09
558,피자드시우 해운대점,부산광역시 해운대구 좌동순환로15번길 11(1층 좌동),129.1662081,35.16715953,매우우수,HG220010834,부산광역시 해운대구,2022-12-08
559,언양닭칼국수,부산광역시 해운대구 재반로 138(1층 재송동),129.1274931,35.19025039,좋음,HG230005801,부산광역시 해운대구,2023-08-11
560,풍원장고기정찬,부산광역시 해운대구 달맞이길117번가길 175(지하 1층 일부호 중동),129.1825422,35.15961868,매우우수,HG220007789,부산광역시 해운대구,2022-09-16
561,바른치킨 부산반여점,부산광역시 해운대구 반여로155번길 50(반여동),129.1235663,35.20647573,매우우수,HG220009629,부산광역시 해운대구,2022-11-04
562,서리재 신세계센텀시티점,부산광역시 해운대구 센텀4로 15(센텀시티 몰 4층 우동),129.128287,35.16986272,매우우수,HG210005907,부산광역시 해운대구,2023-06-30
563,철인7호 해운대신도시점,부산광역시 해운대구 세실로27번길 21(원재프라자 2층 일부호 좌동),129.1779417,35.16863229,매우우수,HG230008249,부산광역시 해운대구,2023-10-31
564,교동면옥 해운대점,부산광역시 해운대구 대천로 84(2층 좌동),129.1721729,35.17357379,매우우수,HG220009207,부산광역시 해운대구,2022-10-25
567,언양닭칼국수,부산광역시 해운대구 중동1로 39(1층 105호 중동),129.1635579,35.16220942,매우우수,HG230005570,부산광역시 해운대구,2023-08-07
568,(주)조선호텔앤리조트 그랜드조선 부산 아리아,부산광역시 해운대구 해운대해변로 292(그랜드 조선 부산 지상2층 중동),129.1630334,35.16006918,매우우수,HG220005718,부산광역시 해운대구,2022-07-15
569,(주)조선호텔앤리조트 그랜드조선부산라운지&바,부산광역시 해운대구 해운대해변로 292(그랜드 조선 부산 지상2층 중동),129.1630334,35.16006918,매우우수,HG220005704,부산광역시 해운대구,2022-07-15
570,(주)조선호텔앤리조트 그랜드조선 부산팔레드신,부산광역시 해운대구 해운대해변로 292(그랜드 조선 부산 지상5층 중동),129.1630334,35.16006918,매우우수,HG220005684,부산광역시 해운대구,2022-07-15
571,Cielo(씨엘로),부산광역시 해운대구 마린시티3로 51(더샵해운대아델리스 2층 202호 우동),129.1458368,35.1540137,매우우수,HG210009753,부산광역시 해운대구,2023-10-18
572,헨리스 가든,부산광역시 해운대구 좌동순환로 418(지상1~2층 중동),129.1749384,35.16208142,매우우수,HG220009415,부산광역시 해운대구,2022-11-01
574,밥풀릭스 해운대점,부산광역시 해운대구 우동3로11번길 3-1(민컴시스템 1층 우동),129.1624,35.16722322,우수,HG230005266,부산광역시 해운대구,2023-07-28
576,bhc 해운대장산점,부산광역시 해운대구 세실로27번길 13(선린빌딩 1층 101일부호 좌동),129.1783396,35.16806054,매우우수,HG210007282,부산광역시 해운대구,2023-07-30
577,정월당치킨 중동역점,부산광역시 해운대구 해운대로 723(하모니타워마브러스 103동 1층 112호 중동),129.1691695,35.16699574,매우우수,HG220006944,부산광역시 해운대구,2022-08-22
